Date,Close,High,Low,Shares_Traded,Turnover,log_return,range_volatility
2014-07-07,7787.15,7792.0,7755.1,1.73926355E8,8925.04,0.004575665613385596,2.253282120572799E-5
2014-07-08,7623.2,7808.85,7595.9,1.80646306E8,9002.25,-0.021278710231501574,7.644715059998295E-4
2014-07-09,7585.0,7650.1,7551.65,1.68348843E8,8176.28,-0.005023616251345775,1.6777081090616378E-4
2014-07-10,7567.75,7731.05,7479.05,2.58385778E8,11431.68,-0.0022768154231857557,0.0010981873038358315
2014-07-11,7459.6,7625.85,7447.2,1.87592951E8,8983.29,-0.014394003902155504,5.619587365857835E-4
2014-07-14,7454.15,7478.45,7422.15,1.3523122E8,6659.48,-7.308691968958904E-4,5.7104903445048936E-5
2014-07-15,7526.65,7534.9,7459.15,1.2206867E8,6124.15,0.009679131423714828,1.0209271323949104E-4
2014-07-16,7624.4,7640.1,7532.45,1.67973291E8,8186.24,0.01290357517080751,2.0136569255819174E-4
2014-07-17,7640.45,7655.65,7612.7,1.41612002E8,6753.11,0.002102871094640876,3.1652236720868535E-5
2014-07-18,7663.9,7685.0,7595.5,1.34603073E8,6903.7,0.00306449059931018,1.3722740926197378E-4
2014-07-21,7684.2,7722.1,7674.0,1.05401279E8,5794.45,0.002645280111212144,3.904195203270484E-5
2014-07-22,7767.85,7773.85,7704.8,1.20081148E8,6494.69,0.010827148134938352,7.960254603851402E-5
2014-07-23,7795.75,7809.2,7752.9,1.22119113E8,7062.52,0.0035852925912121456,5.235331267949438E-5
2014-07-24,7830.6,7835.65,7771.65,1.1760837E8,6271.45,0.004460422015305646,6.726191860297032E-5
2014-07-25,7790.45,7840.95,7748.6,1.53936037E8,7827.61,-0.005140510838018083,1.4037080570004923E-4
2014-07-28,7748.7,7799.9,7722.65,1.1653467E8,6107.78,-0.005373537221862133,9.906905114567638E-5
2014-07-30,7791.4,7798.7,7707.6,1.78110084E8,10175.5,0.005495473962515748,1.3806715465690143E-4
2014-07-31,7721.3,7791.85,7711.15,2.08857257E8,11718.26,-0.009037817679608722,1.0838855141200993E-4
2014-08-01,7602.6,7716.7,7593.9,1.81070405E8,9796.7,-0.015492449591646213,2.573303022172654E-4
2014-08-04,7683.65,7694.8,7622.05,1.37040004E8,7495.07,0.010604400625005004,9.023885991649231E-5
2014-08-05,7746.55,7752.45,7638.05,1.28238762E8,6772.55,0.008152888285444738,2.2101542214311525E-4
2014-08-06,7672.05,7740.95,7658.95,1.16361342E8,6905.9,-0.00966372819590784,1.1341228579701885E-4
2014-08-07,7649.25,7708.95,7630.4,1.16792296E8,6030.02,-0.002976250948722424,1.0489288936815068E-4
2014-08-08,7568.55,7592.45,7540.1,1.18429659E8,6283.56,-0.010606100289075998,4.787101030596246E-5
2014-08-11,7625.95,7635.55,7598.6,1.06972573E8,5535.13,0.00755540136917557,2.3531744544146224E-5
2014-08-12,7727.05,7735.75,7654.8,1.2061166E8,6181.17,0.013170254850428461,1.1066070355866062E-4
